Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://booking.biblioottawalibrary.ca/en/event/teen-exam-cram-p%C3%A9riode-dexamens-pour-ados,Teen Exam Cram | Période d'examens pour ados,Monday,19-Jan-26,29-Jan-26,15:30,Main,120 Metcalfe,Central,Bilingual,Teen,Homework and Reading Support
https://booking.biblioottawalibrary.ca/en/event/cercle-de-lecture-en-fran%C3%A7ais-seulement-0,Cercle de Lecture (en français seulement),Monday,19-Jan-26,02-Mar-26,16:00,Alta Vista,2516 Alta Vista,South - Alta Vista,Français,Child,Book Talks
https://booking.biblioottawalibrary.ca/en/event/english-conversation-group-9,English Conversation Group,Monday,19-Jan-26,28-Dec-26,17:30,Elmvale Acres,1910 St-Laurent,South - Alta Vista,English,Adult,Language learning
https://booking.biblioottawalibrary.ca/en/event/dungeons-and-dragons-adults-waterdeep-dragon-heist,Dungeons and Dragons for Adults: Waterdeep Dragon Heist,Monday,19-Jan-26,16-Mar-26,17:30,Carlingwood,281 Woodroffe,West - Nepean,English,Adult,Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/dungeons-and-dragons-teens-beginner-16,Dungeons and Dragons for Teens - Beginner,Monday,19-Jan-26,09-Mar-26,17:30,Richmond,6240 Perth Street,West - Richmond,English,Teen,Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/mystery-monday,Mystery Monday,Monday,19-Jan-26,09-Mar-26,17:30,Beaverbrook,2500 Campeau,West - Kanata,English,"Child, Family","Games and Gaming, Hobbies and Interests"
https://booking.biblioottawalibrary.ca/en/event/chess-club-club-d%C3%A9checs-2,Chess club,Monday,19-Jan-26,02-Mar-26,18:00,Greenboro,363 Lorry Greenberg,South - Alta Vista,Bilingual,Child,Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/groupe-de-conversation-en-fran%C3%A7ais-french-conversation-group-51,"Groupe de conversation en français, en soirée",Monday,19-Jan-26,14-Dec-26,18:00,Orléans,1705 Orléans,East - Orleans,Français,Adult,Language learning
https://booking.biblioottawalibrary.ca/en/event/community-writing-workshop,Community Writing Workshop,Monday,19-Jan-26,30-Mar-26,18:30,Alta Vista,2516 Alta Vista,South - Alta Vista,English,Adult,Writing and poetry
https://booking.biblioottawalibrary.ca/en/event/homework-help-club-de-devoirs-11,Homework Help,Monday,19-Jan-26,16-Jun-26,18:30,Ruth E. Dickinson,100 Malvern,West - Barrhaven,Bilingual,Child,Homework and Reading Support
